image_path,question,answer
images/train/617dL+lgq+L.jpg,What is the height of this item ?,12.5 centimetre
images/train/51NHvazso9L.jpg,What is the depth of this item ?,13.0 inch
images/train/612KGQm+VmL.jpg,What is the height of this item ?,6.25 inch
images/train/61JTSA63VgS.jpg,What is the weight of this item ?,1 kilogram
images/train/71j+djqqtkL.jpg,What is the weight of this item ?,9.0 ounce
images/train/81SawW75eJL.jpg,What is the weight of this item ?,6.0 ton
images/train/5199gInab4L.jpg,What is the width of this item ?,6.0 centimetre
images/train/81qPo7nFb3L.jpg,What is the weight of this item ?,100.0 gram
images/train/51AEw0G2qiL.jpg,What is the width of this item ?,271.0 centimetre
images/train/51P7GZOaoIL.jpg,What is the height of this item ?,143.0 millimetre
images/train/51Qt4Vnx-SL.jpg,What is the width of this item ?,3.3 inch
images/train/71bdMGhILrL.jpg,What is the voltage of this item ?,115.0 volt
images/train/51Pcxa7qQYL.jpg,What is the depth of this item ?,7.08 inch
images/train/61-D01YisuL.jpg,What is the width of this item ?,50.0 centimetre
images/train/51cKQc9QYcL.jpg,What is the width of this item ?,3.1 inch
images/train/71pKKsjFKvL.jpg,What is the weight of this item ?,210 gram
images/train/51XMin2ashL.jpg,What is the height of this item ?,82.0 centimetre
images/train/61CEWojMuoS.jpg,What is the height of this item ?,4.1 inch
images/train/41xsVDSehDL.jpg,What is the height of this item ?,10.0 centimetre
images/train/615Ne0smyBL.jpg,What is the depth of this item ?,40.0 centimetre
images/train/7176MPSBcQL.jpg,What is the weight of this item ?,"[13.0, 23.0] kilogram"
images/train/718MzRObVQL.jpg,What is the weight recommendation of this item ?,200.0 gram
images/train/81nPHLhlA7S.jpg,What is the weight of this item ?,400 gram
images/train/71Ay4GrCl-L.jpg,What is the volume of this item ?,50.0 millilitre
images/train/618aYxhr2EL.jpg,What is the height of this item ?,4.75 inch
images/train/81aKMCUdVPL.jpg,What is the weight of this item ?,100.0 gram
images/train/71r5bOYbupL.jpg,What is the weight of this item ?,100.0 gram
images/train/81Ob6D6Dx5S.jpg,What is the weight of this item ?,500.0 milligram
images/train/51PbCGrYkaL.jpg,What is the height of this item ?,240.0 centimetre
images/train/61ExM8YWC+L.jpg,What is the depth of this item ?,12.0 inch
images/train/71yiJtYRt+L.jpg,What is the weight of this item ?,2004.0 milligram
images/train/71KqAUugNNL.jpg,What is the wattage of this item ?,165.0 watt
images/train/71FdMHIvO9L.jpg,What is the weight of this item ?,1400.0 milligram
images/train/41fDLApKeoL.jpg,What is the height of this item ?,64.0 centimetre
images/train/51VzxFj1zRL.jpg,What is the weight of this item ?,23 gram
images/train/51YX952BBVL.jpg,What is the height of this item ?,10.0 centimetre
images/train/516Z1NTGe4L.jpg,What is the height of this item ?,1.77 inch
images/train/51x5aCBxGpL.jpg,What is the depth of this item ?,56.0 millimetre
images/train/812r1Y25dJL.jpg,What is the volume of this item ?,8.0 fluid ounce
images/train/81tVfxKh9RL.jpg,What is the weight of this item ?,10.0 ounce
images/train/71UuHUdmeoL.jpg,What is the weight of this item ?,500 gram
images/train/71Z3JHffM9L.jpg,What is the weight of this item ?,240.0 gram
images/train/517iXUMbsdL.jpg,What is the weight of this item ?,2.262 gram
images/train/51J7WCzIazL.jpg,What is the height of this item ?,87.0 centimetre
images/train/41w9QEe8DBL.jpg,What is the height of this item ?,16.0 centimetre
images/train/619XXMQ1KvL.jpg,What is the width of this item ?,18.0 inch
images/train/71xs8l-cydL.jpg,What is the weight of this item ?,150.0 kilogram
images/train/51Tr1+W8YsL.jpg,What is the depth of this item ?,9.04 inch
images/train/51raOSHJ6QL.jpg,What is the weight of this item ?,340 gram
images/train/71MOzPD5xYL.jpg,What is the weight of this item ?,50 gram
images/train/617CpxmZj2L.jpg,What is the width of this item ?,5.7 centimetre
images/train/51+oj52YP7L.jpg,What is the height of this item ?,5.7 inch
images/train/71GgwD7lXjL.jpg,What is the weight of this item ?,21.0 gram
images/train/51RDgKQF9NL.jpg,What is the width of this item ?,13.0 centimetre
images/train/51XBj51noeL.jpg,What is the weight of this item ?,10.0 gram
images/train/71fVFsHv2TL.jpg,What is the weight of this item ?,100 gram
images/train/519uQZcG2HL.jpg,What is the height of this item ?,8.8 inch
images/train/510AaY3dcFL.jpg,What is the width of this item ?,1.65 inch
images/train/31nUX5AJIbL.jpg,What is the wattage of this item ?,9.0 watt
images/train/51QjkFMwstL.jpg,What is the width of this item ?,18.0 millimetre
images/train/618D0lmfR-L.jpg,What is the depth of this item ?,3.93 inch
images/train/71Vcqs1zcoL.jpg,What is the weight of this item ?,18.0 ounce
images/train/61Pgwc-m1ML.jpg,What is the weight of this item ?,25.5 gram
images/train/61oDsYB3FiL.jpg,What is the weight of this item ?,142 gram
images/train/51xMSna9siL.jpg,What is the depth of this item ?,8.0 centimetre
images/train/51U6g6DQQYL.jpg,What is the width of this item ?,2.04 inch
images/train/51vVJuM32UL.jpg,What is the height of this item ?,72.5 centimetre
images/train/71peIEAO6LL.jpg,What is the volume of this item ?,100.0 millilitre
images/train/51StJf0XyvL.jpg,What is the depth of this item ?,49.0 inch
images/train/61zFgbNUH4S.jpg,What is the wattage of this item ?,463.0 watt
images/train/413tbzVin3L.jpg,What is the height of this item ?,1800.0 millimetre
images/train/61EsME0jSZL.jpg,What is the width of this item ?,16.0 inch
images/train/61cUFRQ8BGL.jpg,What is the weight of this item ?,8.6 gram
images/train/71PFv3t0DPL.jpg,What is the weight of this item ?,5.07 pound
images/train/612atA66-VL.jpg,What is the depth of this item ?,11.0 inch
images/train/81JICgaq91L.jpg,What is the volume of this item ?,16.0 fluid ounce
images/train/51DCAm7oszL.jpg,What is the width of this item ?,18.0 centimetre
images/train/617Gk12VlQL.jpg,What is the height of this item ?,2.0 centimetre
images/train/51bRLXjE3zL.jpg,What is the weight of this item ?,40.0 gram
images/train/61A-hBuZelL.jpg,What is the width of this item ?,6.5 inch
